Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,100.0
2.5,36.5625,100.0
5.0,28.573684210526316,20.0
7.5,19.692105263157895,20.0
12.5,19.692105263157895,0.0
15.0,19.692105263157895,0.0
17.5,19.692105263157895,0.0
20.0,19.692105263157895,0.0
22.5,19.692105263157895,0.0
25.0,19.692105263157895,0.0
27.5,19.692105263157895,0.0
30.0,19.692105263157895,0.0
32.5,19.692105263157895,0.0
35.0,19.692105263157895,0.0
37.5,19.692105263157895,0.0
40.0,19.692105263157895,0.0
42.5,60.0,0.0
45.0,-361.875,100.0
50.0,-361.875,0.0
52.5,-361.875,0.0
55.0,-361.875,0.0
57.5,-361.875,0.0
60.0,-361.875,0.0
62.5,-361.875,0.0
65.0,-361.875,0.0
67.5,-361.875,0.0
70.0,-361.875,0.0
72.5,-361.875,0.0
75.0,-361.875,0.0
77.5,-361.875,0.0
80.0,-361.875,0.0
82.5,-361.875,0.0
85.0,-361.875,0.0
87.5,-361.875,0.0
90.0,-361.875,0.0
92.5,-361.875,0.0
95.0,-361.875,0.0
97.5,-361.875,0.0
100.0,-361.875,0.0
102.5,-361.875,0.0
105.0,-361.875,0.0
107.5,-361.875,0.0
110.0,-361.875,0.0
112.5,-361.875,0.0
115.0,-361.875,0.0
117.5,-361.875,0.0
120.0,-361.875,0.0
